ID,Distance band,Urban/rural,Market,ISP,Headline speed,Technology,Download speed (Mbit/s) 24-hour,Download speed (Mbit/s) Max,Download speed (Mbit/s) 8-10pm weekday,Upload speed (Mbit/s)24-hour,Upload speed (Mbit/s)Max,Upload speed (Mbit/s)8-10pm weekday,DNS resolution (ms)24-hour,DNS failure (%)24-hour,DNS resolution (ms)8-10pm weekday,DNS failure (%)8-10pm weekday,Jitter up (ms)24-hour,Jitter down (ms)24-hour,Jitter up (ms)8-10pm weekday,Jitter down (ms)8-10pm weekday,Latency (ms)24-hour,Packet loss (%)24-hour,Latency (ms)8-10pm weekday,Packet loss (%)8-10pm weekday,Web page (ms)24-hour,Web page (ms)8-10pm weekday,ISP weights,Nat weights
146540,0-385,Urban,,BT,8,DSL,2.92,3.902,2.788,0.403,0.481,0.401,33.521,0.002,33.468,0,0.875,0.463,0.796,0.455,33.654,0.22%,33.111,0.00%,1381.563,1483.015,0.94,
146542,0-385,Urban,3,Sky,20,ADSL2+,17.661,18.039,17.651,1.07,1.14,1.067,18.367,0,17.874,0,0.622,0.433,0.671,0.458,14.503,0.13%,14.617,0.02%,829.37,737.486,0.72,
146548,1367-1635,Urban,3,Sky,20,ADSL2+,7.027,7.625,6.97,0.978,1.03,0.978,22.254,0.001,21.545,0.002,0.495,0.374,0.494,0.454,12.979,0.39%,12.733,0.85%,1045.513,1071.91,0.86,1.01
147526,1635-1992,Urban,3,Orange,8,DSL,6.722,7.056,6.764,0.987,1.045,0.979,19.894,0,19.44,0,0.585,0.713,0.629,0.628,14.827,0.09%,14.252,0.11%,593.18,571.145,,0.23
148512,1992-2563,Urban,3,FTTP,330,FTTx,100.473,285.775,92.407,19.861,20.795,19.868,11.335,0.001,11.332,0,0.286,0.205,0.282,0.236,10.615,0.03%,10.64,0.01%,187.839,212.259,,0.03
149116,763-946,Urban,1,Virgin,30,Cable,30.292,33.254,26.814,1.971,2.05,1.961,,,,,3.59,0.375,4.102,0.948,19.035,0.06%,20.919,0.02%,,,,0.26
149850,582-763,Urban,3,O2,20,ADSL2+,15.031,15.505,14.999,1.135,1.163,1.123,23.375,0,23.328,0,0.471,0.495,0.49,0.74,22.957,0.02%,22.986,0.04%,746.051,610.727,1.24,
156230,1992-2563,Rural,1,Plusnet,20,DSL,5.462,5.574,5.472,0.931,1.083,0.919,16.985,0.001,16.986,0.009,0.436,0.457,0.488,0.578,15.814,0.03%,16.075,0.06%,725.563,751.436,,0.16
156532,2563-5000,Urban,3,Virgin,60,Cable,62.514,62.896,62.346,5.55,6.773,4.393,14.76,0.001,14.391,0.002,2.613,0.18,2.879,0.279,14.181,0.13%,14.708,0.20%,392.419,883.623,1,
156534,2563-5000,Urban,3,Virgin,60,Cable,62.309,62.684,62.051,6.608,6.804,6.569,18.512,0,18.314,0,1.799,0.224,2.299,0.307,13.113,0.02%,13.763,0.01%,261.163,259.641,1,0.38
