unit_id,Ofcom product,Region,Country,Urban Rural,Distance from Exchange,Technology,Market Class,24 hr average download speed,24 hour average minimum speed download,24 hour average maximum download speed,Peak average download speed,Peak average minimum speed download,Peak average maximum download speed,24 hr average upload speed,24 hour average minimum speed upload,24 hour average maximum upload speed,Peak average upload speed,Peak average minimum speed upload,Peak average maximum upload speed,24 hour DNS Failure ,Peak DNS Failure ,24 hour DNS ,Peak DNS ,24 hour Jitter Upstream,Peak Jitter Upstream,24 hour Jitter Downstream,Peak Jitter Downstream,24 hour Latency,Peak Latency,24 hour packet loss,Peak packet loss,24 hour time to load webpage,Peak time to load webpage,Disconnections,24 hour - Youtube UHD,24 hour - Youtube HD,24 hour - Youtube SD,24 hour - Youtube failure,24 hour - Youtube Start-up delay,Peak - Youtube UHD,Peak - Youtube HD,Peak - Youtube SD,Peak - Youtube failure,Peak- Youtube Start-up delay,24 hour - Netflix UHD,24 hour - Netflix HD,24 hour - Netflix SD,24 hour - Netflix failure,24 hour - Netflix Start-up delay,Peak - Netflix UHD,Peak - Netflix HD,Peak - Netflix SD,Peak - Netflix failure,Peak- Netflix Start-up delay,24 hour - iPlayer UHD,24 hour - iPlayer HD,24 hour - iPlayer SD,24 hour - iPlayer failure,24 hour - iPlayer Start-up delay,Peak - iPlayer UHD,Peak - iPlayer HD,Peak - iPlayer SD,Peak - iPlayer failure,Peak- iPlayer Start-up delay
942368,Sky 38,North West,England,Rural,3001 to 3250m,FTTC,B,29.41462375,28.68890064,29.49044258,29.39614175,29.3376744,29.46375733,6.550447577,6.423454194,6.58445471,6.551256,6.413784,6.590232,2.00E-04,0,6.25439321,6.2331858,0.29794167,0.28803571,0.19826389,0.21107143,12.41528099,12.45653448,2.00E-04,0,215.4346047,211.4586964,0.0323,0.0452,0.8192,0.1356,0,470.819774,0.0351,0.8246,0.1404,0,452.2092105,0.9973,0.0027,0,0,1161.857295,1,0,0,0,1221.794966,0,1,0,0,538.6422486,0,1,0,0,604.4424237
813905,Plusnet 38,Yorkshire & Humberside,England,Rural,3001 to 3250m,FTTC,B,33.36079781,31.96361084,33.72139329,33.187728,32.46540877,33.48815561,4.968235164,4.77192929,5.005029162,4.963256656,4.480096,5.125224,2.00E-04,0,25.01876579,24.73998947,0.43731624,0.43175862,0.35152137,0.36560714,19.06241427,19.27443548,3.00E-04,0,201.5286156,202.4525,0.0968,0.0575,0.8276,0.1149,0,1089.109701,,,,,,1,0,0,0,1033.814714,,,,,,0,1,0,0,1183.028152,,,,,
941152,TalkTalk 76,Wales,Wales,Urban,3001 to 3250m,FTTC,B,72.42712812,70.17611897,72.71428516,71.80268575,71.09217867,71.57326333,18.64310854,18.51254813,18.67425497,18.61960519,18.409696,18.679464,0,0,7.06403881,6.76578113,0.12927897,0.13041176,0.35054077,0.40525,8.84189331,8.92385185,1.00E-04,0,91.76829474,92.14611111,0.0645,0.0611,0.8122,0.1266,0,439.4555153,0.0571,0.8,0.1429,0,424.4281429,1,0,0,0,458.7173652,1,0,0,0,492.0411351,0,1,0,0,396.5481826,0,1,0,0,432.3597568
849469,TalkTalk 38,North West,England,Urban,3001 to 3250m,FTTC,B,22.9696118,21.484872,23.16467303,22.71997131,22.05627587,22.89785497,3.765337454,3.598116129,3.84458529,3.774916414,3.491912,3.847712,0,0,7.14548855,6.84288376,0.87367797,0.7442,0.40985915,0.45861538,13.67678285,15.24066071,1.00E-04,1.00E-04,211.5304331,218.8165741,0.0323,0.0487,0.808,0.1433,0,867.1963496,0.0351,0.807,0.1579,0,862.9749649,0.9669,0.0331,0,0,1454.822444,0.8621,0.1379,0,0,1683.192969,0,1,0,0,837.2578113,0,1,0,0,976.802125
821109,Virgin 100,East Midlands,England,Rural,3001 to 3250m,Cable,B,108.0982125,101.1898952,109.6826467,106.8206282,106.3986099,106.7528495,5.962333673,5.864327742,6.019043871,5.93699872,5.802592,6.011352,2.00E-04,0,15.75427883,16.48216447,1.86406,2.30677778,0.141696,0.13066667,20.13636,19.75152459,3.00E-04,3.00E-04,293.6915852,273.8325882,0.0645,0.0485,0.8398,0.1117,0,565.7532087,0,0.8889,0.1111,0,493.4376111,1,0,0,0,639.5732607,1,0,0,0,616.8403182,0,1,0,0,580.4786777,0,1,0,0,601.7342
942350,Vodafone UK 38,East,England,Rural,3001 to 3250m,FTTC,B,13.37228438,12.02960206,13.69687923,12.91784747,12.24269,13.241756,2.813753418,2.711505806,2.870794322,2.801226154,2.67412,2.988144,2.00E-04,0,21.51179308,21.97450761,0.65724765,0.65648148,0.56862069,0.76703846,9.63821802,10.00932609,5.00E-04,0.001,366.7571261,406.64288,1.4516,0.0471,0.8353,0.1176,0,979.6421412,,,,,,0,0.9886,0.0114,0,1226.279133,,,,,,0,0.9886,0.0114,0,1618.0766,,,,,
2299,BT 52,Yorkshire & Humberside,England,Rural,3001 to 3250m,FTTC,B,43.31032653,41.7887352,43.59683307,43.15054486,41.92860193,43.61744221,10.0026247,9.279437066,10.84123573,10.01007649,9.023304,11.201304,0,0,10.75875005,10.79669112,0.27238218,0.2752069,0.32315562,0.42762963,10.12708659,10.14184211,3.00E-04,0,134.0629928,133.9648103,0.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848661,BT 8,Wales,Wales,Rural,3001 to 3250m,ADSL,A,1.895486382,1.702222452,2.059600258,1.881148286,1.819985032,1.900179097,0.464656168,0.427428903,0.494639742,0.450131636,0.07876,0.554456,1.00E-04,0,26.679734,26.93698615,4.81991541,7.44474074,0.81425378,0.79418519,25.72122496,25.8924918,4.00E-04,1.00E-04,1808.393914,1832.65375,0.4516,0,0,1,0,14360.57336,0,0,1,0,23489.64117,0,0,1,0,1962.658968,0,0,1,0,1970.079772,0,0,1,0,1844.94779,0,0,1,0,1860.247307
820987,Virgin 200,South West,England,Rural,3001 to 3250m,Cable,B,217.6056694,208.7343636,219.5617997,215.1951834,212.3272935,217.1057823,11.42094942,10.46763123,12.09227329,11.52479562,7.08792,12.15704,0,0,15.48533978,15.57048709,2.02862139,2.20511538,0.21980925,0.27574074,17.59405502,17.89422951,0.0012,0,283.7519,284.0742407,0.0968,0.048,0.8018,0.1502,0,634.0048348,0.0192,0.7885,0.1923,0,608.1708846,1,0,0,0,357.4168717,1,0,0,0,364.9824906,0,1,0,0,776.6918466,0,1,0,0,785.0935273
947788,Plusnet 8,Scotland,Scotland,Rural,3001 to 3250m,ADSL,B,3.816333912,3.721327226,3.854492645,3.808158644,3.756554065,3.839492645,0.451993022,0.438229935,0.464196645,0.450311734,0.410112,0.470144,0.0014,0.0144,37.46227835,37.83055308,0.87555801,0.88213333,0.45394766,0.47109677,35.07219441,35.99921667,0.0026,1.00E-04,1120.395937,1106.102797,2.5484,0,0.8333,0.1667,0,25106.47376,0,0.8,0.2,0,25088.15077,0,1,0,0,1936.229674,0,1,0,0,1952.843194,0,0.043,0.957,0,2164.850669,0,0.0645,0.9355,0,2215.311217
