unit_id,WT_national,WT_ISP,Valid_panel,Pack_number,Tech,Plusnet_upload,LLUvsNon,MarketClass,URBAN2,Nation,Dist_ADSL1,Dist_ADSL2,DL24hrmean,DL24hrmax,DLpeakmean,DLpeakmax,UL24hrmean,UL24hrmax,UL24hrmean_A,UL24hrmax_A,DNSFail24hr,DNSFailPeak,DNSRTT24hr,DNSRTTPeak,JitterUp24hr,JitterUpPeak,JitterDown24hr,JitterDownPeak,Latency24hr,LatencyPeak,PacketLoss24hr,PacketLossPeak,Web24hr,WebPeak,Disconnections,YouTubeUHD24hr,YouTubeHD24hr,YouTubeSD24hr,YouTubeFailed24hr,YouTubeStartupDelay24hr,YouTubeUHDPeak,YouTubeHDPeak,YouTubeSDPeak,YouTubeFailedPeak,YouTubeStartupDelayPeak,NetflixUHD24hr,NetflixHD24hr,NetflixSD24hr,NetflixFailed24hr,NetflixStartupDelay24hr,NetflixUHDPeak,NetflixHDPeak,NetflixSDPeak,NetflixFailedPeak,NetflixStartupDelayPeak,iPlayerUHD24hr,iPlayerHD24hr,iPlayerSD24hr,iPlayerFailed24hr,iPlayerStartupDelay24hr,iPlayerUHDPeak,iPlayerHDPeak,iPlayerSDPeak,iPlayerFailedPeak,iPlayerStartupDelayPeak
813471,0,0.61,Valid panelist,Plusnet 40,FTTC 38,10,Y,3,Urban,England,#NULL!,#NULL!,35.07662786,37.134064,35.02051705,37.134064,8.061774322,8.208248,8.051216216,8.208248,0.01,0,18.49682736,18.39783215,0.35923494,0.3173125,0.32377246,0.35558824,12.83993333,13.0165,0.02,0,209.2376587,226.4221053,0,0,1,0,0,630,0,1,0,0,583,1,0,0,0,969,1,0,0,0,940.8158125,0,1,0,0,1148,0,1,0,0,1086.653529
813619,0,0.86,Valid panelist,Plusnet 40,FTTC 38,10,Y,3,Urban,England,#NULL!,#NULL!,35.12076944,37.157792,35.13803667,37.157792,6.055674762,6.24524,6.075868923,6.21776,0.03,0,17.05822561,17.05337212,0.4623961,0.4695,0.35703571,0.38894444,13.00413464,12.64831579,0.06,0.01,200.73026,222.552,0.207,0,1,0,0,551,0,1,0,0,566,1,0,0,0,934,1,0,0,0,960.8518421,0,1,0,0,1003,0,1,0,0,1196.509444
185880,1.55,2.3,Valid panelist,EE 20,ADSL2,#NULL!,N,3,Urban,England,#NULL!,Distance band 16,5.357441287,6.201016,5.410318,6.200912,0.683511264,0.7246,0.676709714,0.719992,3.96,10.67,27.88156909,27.91618182,0.71809855,0.68685,0.45925217,0.57825,23.37916289,23.47811905,0.29,1.04,1380.290315,1418.918183,0.1,0,1,0,0,1843,0,1,0,0,1632,0,1,0,0,2061,0,0.9412,0.0588,0,1982.675421,0,1,0,0,4544,0,1,0,0,5307.836611
62660,1.22,0.46,Valid panelist,Sky 20,ADSL2,#NULL!,Y,3,Semi-urban,England,#NULL!,Distance band 1,15.71491918,16.084032,15.5912134,16.073752,1.08326935,1.187352,1.077479795,1.169976,0.03,0,11.0647327,10.93400686,0.56315902,0.49229412,0.52670642,0.72827778,10.55452913,10.64236111,0.02,0.01,727.4437415,862.5618378,0.033,0,1,0,0,573,0,1,0,0,595,1,0,0,0,1950,0.75,0.25,0,0,1917.835556,0,1,0,0,2325,0,1,0,0,2109.584189
175640,0,1.04,Valid panelist,Plusnet 80,FTTC 76,20,Y,3,Urban,England,#NULL!,#NULL!,70.09831498,72.563912,68.00732759,72.112024,18.54107348,18.638776,18.47699718,18.638776,0.02,0,12.56589626,12.72536914,0.30069605,0.30438889,0.34932523,0.49972222,7.0223877,7.2195,0.02,0,158.0772257,165.5504063,0.133,0,1,0,0,627,0,1,0,0,646,1,0,0,0,482,1,0,0,0,494.1540769,0,1,0,0,875,0,1,0,0,1339.245243
250834,0,1.63,Valid panelist,EE 40,FTTC 38,#NULL!,N,3,Urban,England,#NULL!,#NULL!,36.11966051,37.155112,36.4209548,37.155112,7.308552702,7.736752,7.306442286,7.724072,4.09,4.73,11.91643054,11.88386331,0.59682799,0.5897619,0.69991254,0.8027,8.80363531,9.10190244,0.07,0.2,503.5795314,523.8959677,0.2,0,1,0,0,963,0,1,0,0,1027,1,0,0,0,1603,1,0,0,0,1578.323526,0,1,0,0,2411,0,1,0,0,2904.827167
813987,0.91,1,Valid panelist,Virgin 100,Cable,#NULL!,N,3,Urban,England,#NULL!,#NULL!,99.16697635,106.062376,93.24956706,103.448344,5.954427068,6.180096,5.914636266,6.11004,0,0,14.75614631,14.62532941,1.90758235,2.521,0.23775882,0.405375,9.93345588,10.645,0.01,0.07,165.1003281,168.3973333,0,0,1,0,0,361,0,1,0,0,401,1,0,0,0,556,1,0,0,0,687.6894286,0,1,0,0,855,0,1,0,0,892.5783636
815275,0,0.77,Valid panelist,EE 80,FTTC 76,#NULL!,N,3,Urban,England,#NULL!,#NULL!,72.27067585,74.36148,71.52167875,74.323552,18.58445454,18.67024,18.56841575,18.630984,2.92,2.15,11.46223865,11.14332484,0.40640075,0.41325,0.36110112,0.4081875,8.37356273,8.5453125,0.06,0,269.2475066,298.5518438,0.167,0,1,0,0,870,0,1,0,0,810,1,0,0,0,1438,1,0,0,0,1545.343438,0,1,0,0,1854,0,1,0,0,2264.982903
175728,0.38,0.82,Valid panelist,BT 40,FTTC 38,#NULL!,Y,3,Urban,England,#NULL!,#NULL!,36.08629632,37.178864,35.56940951,37.178864,7.571109342,7.725176,7.600270154,7.720312,0.03,0,8.82352283,9.54715548,0.46537778,0.45325,1.14070064,1.25819048,8.15117192,8.80987805,0.02,0.01,188.152136,188.2600857,0.033,0,1,0,0,596,0,1,0,0,545,1,0,0,0,1102,1,0,0,0,941.2961875,0,1,0,0,1181,0,1,0,0,1581.747303
42141,0.33,1,Valid panelist,Virgin 50,Cable,#NULL!,N,3,Semi-urban,England,#NULL!,#NULL!,51.65849015,54.006136,48.55984741,53.734632,3.04015042,3.136912,3.045032205,3.123008,0.11,0,12.86710238,13.37404819,1.72803215,2.05582353,0.32906109,0.38135294,10.39615706,10.934275,0.04,0.19,193.2180016,235.6724324,0.333,0,1,0,0,608,0,1,0,0,704,1,0,0,0,713,1,0,0,0,782.8265,0,1,0,0,926,0,1,0,0,1174.586371
