Unit_id,Distance band,Urban/rural,Market,ISP,Headline speed,Technology,Download speed (Mbit/s) 24-hour,Download speed (Mbit/s) Max,Download speed (Mbit/s) 8-10pm weekday,Upload speed (Mbit/s)24-hour,Upload speed (Mbit/s)Max,Upload speed (Mbit/s)8-10pm weekday,DNS resolution (ms)24-hour,DNS failure (%)24-hour,DNS resolution (ms)8-10pm weekday,DNS failure (%)8-10pm weekday,Jitter up (ms)24-hour,Jitter down (ms)24-hour,Jitter up (ms)8-10pm weekday,Jitter down (ms)8-10pm weekday,Latency (ms)24-hour,Packet loss (%)24-hour,Latency (ms)8-10pm weekday,Packet loss (%)8-10pm weekday,Web page (ms)24-hour,Web page (ms)8-10pm weekday,ISP weights
1345,1992-2563,Rural,1,Plusnet,8,ADSL1,3.637,3.965,3.535,0.39,0.551,0.403,58.424,0.006,66.499,0.03,1.206,0.645,1.209,1.553,52.455,0.05%,53.789,0.03%,1257.588,1366.449,
1348,1635-1992,Urban,3,Virgin,30,Cable,27.473,31.421,27.189,1.985,2.1,1.982,11.465,0.002,12.528,0,2.57,0.229,2.978,0.411,14.179,0.01%,14.465,0.01%,248.091,283.541,1
1349,1367-1635,Urban,3,Virgin,60,Cable,62.406,62.675,62.314,3.03,3.137,3.033,10.815,0.004,11.182,0.007,1.304,0.231,1.324,0.357,8.547,0.18%,8.678,0.25%,187.358,188.456,1
1352,385-582,Urban,3,Sky,20,ADSL2+,13.895,14.069,13.875,1.166,1.25,1.166,22.106,0.001,22.002,0,0.452,0.524,0.475,0.532,19.248,0.32%,19.301,0.61%,1220.866,1055.736,0.76
1353,1635-1992,Urban,3,Virgin,60,Cable,62.519,62.677,62.235,3.027,3.154,3.009,11.821,0.002,11.862,0,1.642,0.723,1.763,0.747,15.008,0.03%,15.31,0.02%,280.74,293.676,1
1354,763-946,Urban,3,Be,20,ADSL2+,9.828,9.945,9.818,0.961,1.08,0.948,24.581,0.001,24.076,0,0.459,0.536,0.446,0.546,20.195,0.28%,20.102,0.34%,1765.102,1701.65,1
1360,1992-2563,Rural,3,O2,20,ADSL2+,6.548,6.617,6.555,0.709,0.775,0.715,37.512,0.001,36.956,0,0.885,0.492,0.838,0.497,36.358,0.08%,36.184,0.08%,1748.424,1896.741,2
1362,1367-1635,Rural,1,BT,8,ADSL1,2.877,3.778,2.838,0.395,0.446,0.401,33.985,0,34.239,0,0.832,0.542,0.838,0.597,32.43,0.06%,32.723,0.03%,2274.349,2286.333,
1366,0-385,Urban,3,Sky,20,ADSL2+,20.04,20.444,20.054,1.175,1.295,1.156,19.071,0.002,18.301,0,0.702,0.438,0.677,0.447,20.559,0.07%,20.616,0.01%,709.298,739.586,0.76
1369,1143-1367,Urban,2,Sky,20,ADSL2+,10.85,12.162,10.593,0.966,1.062,0.97,26.41,0.001,26.19,0.004,0.716,0.346,0.687,0.435,21.782,0.07%,22.144,0.01%,1107.455,1340.112,0.89
1370,763-946,Urban,3,O2,20,ADSL2+,13.632,14.223,13.955,0.934,1.013,0.93,,,,,3.947,0.462,5.462,0.457,23.602,0.13%,23.731,0.52%,,,1
1384,582-763,Urban,3,Plusnet,20,ADSL1,15.681,17.016,15.686,0.391,0.475,0.389,19.628,0.003,24.605,0.019,0.785,0.419,0.82,0.488,16.841,0.18%,17.087,0.01%,640.172,644.286,0.72
1390,2563-5000,Urban,1,BT,20,ADSL1,1.913,2.298,1.907,0.706,0.848,0.701,20.172,0,21.149,0.002,0.697,0.499,0.679,0.436,18.696,0.03%,19.867,0.05%,1749.488,1899.352,
1391,2563-5000,Urban,3,Virgin,60,Cable,61.462,62.675,60.405,3.033,3.17,3.023,17.576,0.002,17.832,0,1.697,0.484,1.965,0.553,15.661,0.05%,16.087,0.00%,280.132,293.718,1
1393,1143-1367,Urban,3,BT,20,ADSL1,14.593,14.966,14.538,1.185,1.276,1.172,14.044,0,14.11,0,0.404,0.443,0.384,0.443,13.797,0.03%,13.963,0.01%,327.079,336.466,0.73
1401,1992-2563,Urban,3,Virgin,60,Cable,62.519,62.675,62.584,3.048,3.16,3.026,15.411,0.004,15.507,0,1.345,0.207,1.456,0.264,18.588,0.03%,18.888,0.00%,306.86,320.69,1
1407,2563-5000,Urban,3,Sky,20,ADSL2+,2.771,3.561,2.396,0.697,0.815,0.701,31.658,0,30.813,0,1.062,0.554,1.064,0.657,33.967,0.48%,34.104,0.20%,1896.209,2331.232,2.14
1408,1992-2563,Urban,3,BT,8,ADSL1,2.334,2.69,2.36,0.412,0.544,0.419,24.128,0.002,24.361,0.003,0.688,0.441,0.693,0.491,22.28,2.09%,22.394,1.61%,1572.013,1574.498,0.7
1409,1992-2563,Urban,3,Plusnet,8,ADSL1,2.408,2.656,2.407,0.6,0.763,0.603,35.444,0.007,44.152,0.025,0.704,1.312,0.681,4.032,30.844,0.33%,34.35,1.00%,1600.639,1883.006,0.88
1412,0-385,Urban,2,Virgin,60,Cable,57.155,62.673,55.848,2.972,3.106,2.975,14.062,0.002,14.528,0,4.321,0.229,6.171,0.285,13.761,0.06%,14.872,0.35%,252.765,225.622,1
1417,2563-5000,Rural,2,BT,20,ADSL1,1.037,1.174,1.03,0.685,0.864,0.685,18.241,0.001,19.521,0,0.633,0.653,0.655,0.789,18.759,0.07%,21.069,0.12%,4321.143,4564.714,1.12
1420,1143-1367,Urban,3,Sky,20,ADSL2+,8.798,10.463,8.831,0.981,1.089,0.978,24.833,0.007,23.939,0.016,0.505,0.306,0.478,0.357,26.082,0.70%,26.185,0.79%,882.577,1254.03,0.89
1421,1143-1367,Urban,3,AOL,20,ADSL1,8.859,10.345,8.789,0.93,1.034,0.911,44.298,0.003,42.497,0.002,0.834,0.843,0.874,0.874,33.019,0.04%,33.198,0.28%,593.537,593.863,
1422,582-763,Urban,1,Plusnet,8,ADSL1,6.56,6.792,6.457,0.386,0.563,0.379,29.143,0.006,32.953,0.031,0.716,0.323,0.834,0.583,26.529,0.01%,27.246,0.03%,732.595,765.766,
1427,2563-5000,Urban,3,Sky,20,ADSL2+,3.818,3.988,3.765,0.658,0.745,0.654,21.903,0.002,21.088,0,0.582,0.602,0.574,0.616,24.358,0.13%,24.393,0.02%,1241.933,1302.463,2.14
1428,0-385,Urban,3,BT,20,ADSL1,7.021,7.413,6.95,0.852,0.976,0.873,27.383,0,27.477,0,0.644,0.388,0.643,0.442,26.682,0.13%,26.68,0.08%,656.988,638.177,0.86
1429,>5000,Urban,4,Karoo,20,ADSL2+,11.549,11.919,11.643,0.88,0.96,0.883,13.036,0.018,12.918,0.019,0.609,0.589,0.536,0.384,11.737,0.23%,11.591,0.26%,1070.392,1121.426,
1433,1992-2563,Urban,1,BT,8,ADSL1,4.271,4.445,4.246,0.384,0.46,0.391,31.092,0.001,31.69,0,1.444,0.797,1.344,0.893,30.35,0.06%,31.223,0.05%,1009.659,1087.943,
1436,1143-1367,Urban,3,O2,20,ADSL2+,11.751,12.386,11.723,1.035,1.15,1.031,25.596,0.001,23.081,0,0.741,0.492,0.758,0.487,25.505,0.12%,25.911,0.16%,1910.769,,0.8
1437,0-385,Urban,3,Sky,20,ADSL2+,14.804,15.168,14.704,0.899,1.002,0.909,22.549,0,22.334,0.002,1.153,0.412,1.151,0.569,21.08,0.04%,21.258,0.05%,467.186,462.47,0.76
1439,2563-5000,Urban,1,Sky,8,ADSL1,3.056,3.222,3.073,0.935,1.023,0.933,17.781,0.002,15.26,0.002,0.628,0.465,0.678,0.531,12.633,0.24%,13.118,0.23%,1818.061,1894.906,
1441,1992-2563,Urban,3,Virgin,20,Cable,20.173,20.438,19.989,1.167,1.252,1.174,15.994,0.002,17.918,0,4.362,0.27,5.927,0.436,16.767,0.05%,18.742,0.02%,436.505,520.547,
1454,582-763,Urban,3,Virgin,30,Cable,30.94,33.339,30.682,2,2.079,1.993,10.264,0.002,10.712,0,2.155,0.263,2.271,0.32,9.137,0.03%,9.612,0.00%,178.305,215.568,1
1455,385-582,Urban,2,BT,20,ADSL1,13.361,14.09,13.3,1.203,1.312,1.197,32.783,0,32.772,0,0.667,0.393,0.681,0.499,32.546,0.04%,32.514,0.16%,524.976,515.297,0.86
1456,1635-1992,Urban,3,TalkTalk,20,ADSL2+,6.87,6.907,6.869,0.653,0.72,0.649,30.225,0,30.187,0,0.62,0.547,0.681,0.63,34.976,0.02%,35.189,0.02%,951.298,1065.392,1.07
